N6705C exported datalog

"Sample interval: 0.00100352"
"Trigger sample: 0"
"Date: Tue Sep  1 16:19:49 2020"

Sample,"Curr avg 3","Volt avg 4"
355,0.00163971,12.6007
356,0.00197626,12.6014
357,0.00183322,12.6011
358,0.0020015,12.6009
359,0.00178905,12.6012
360,0.00208353,12.6009
361,0.00171122,12.6009
362,0.00165022,12.6012
363,0.00198257,12.6007
364,0.0018816,12.6011
365,0.00196364,12.6001
366,0.00192788,12.6005
367,0.00191526,12.6006
368,0.00204356,12.6005
369,0.00210457,12.601
370,0.00180377,12.601
371,0.00202463,12.6012
372,0.00151981,12.6014
373,0.00203726,12.6007
374,0.00195522,12.601
375,0.00183743,12.6012
376,0.0017554,12.6009
377,0.00178274,12.6012
378,0.00184164,12.6009
379,0.00180377,12.6011
380,0.00238222,12.6013
381,0.00159553,12.6009
382,0.00197626,12.6017
383,0.00204356,12.6013
384,0.00156609,12.601
385,0.00229598,12.6013
386,0.00136416,12.6008
387,0.00184584,12.6009
388,0.00196364,12.601
389,0.00211087,12.6011
390,0.00168808,12.601
391,0.00189422,12.6006
392,0.00197836,12.6009
393,0.00167967,12.6008
394,0.00207091,12.601
395,0.00173015,12.6004
396,0.00153664,12.6019
397,0.00217187,12.6007
398,0.00171122,12.6012
399,0.00199519,12.6016
400,0.00189843,12.6013
401,0.00183953,12.6014
402,0.00171333,12.6006
403,0.00221815,12.6017
404,0.00146092,12.6007
405,0.00197626,12.6008
406,0.00193208,12.6011
407,0.00177222,12.6011
408,0.00204777,12.6008
409,0.00191736,12.6014
410,0.00156188,12.6009
411,0.00199098,12.6016
412,0.00161236,12.6013
413,0.00165022,12.6007
414,0.00203515,12.6014
415,0.00199098,12.6016
416,0.0017007,12.6008
417,0.00198677,12.6011
418,0.00196784,12.6014
419,0.00181429,12.6005
420,0.00211508,12.601
421,0.00189212,12.6012
422,0.00169229,12.6007
423,0.0021256,12.601
424,0.00164812,12.6003
425,0.00192788,12.6012
426,0.00183322,12.6008
427,0.00181429,12.6007
428,0.00160395,12.6011
429,0.00161447,12.6003
430,0.0020667,12.6008
431,0.0021866,12.6014
432,0.00171963,12.6009
433,0.00197415,12.6009
434,0.00211508,12.6015
435,0.00205829,12.6004
436,0.0015745,12.6009
437,0.00198467,12.6011
438,0.0018795,12.6005
439,0.0017554,12.6004
440,0.00204777,12.601
441,0.00206881,12.601
442,0.00169439,12.6011
443,0.00164391,12.6011
444,0.00207512,12.6008
445,0.00198467,12.601
446,0.00220132,12.6007
447,0.00190263,12.6014
448,0.00176591,12.6008
449,0.00236329,12.6007
450,0.00161236,12.6013
451,0.00168598,12.6006
452,0.00189843,12.6017
453,0.00182271,12.6008
454,0.00211508,12.6011
455,0.00186267,12.6009
456,0.0015745,12.601
457,0.00214243,12.6016
458,0.00183322,12.6009
459,0.00172174,12.6011
460,0.00183532,12.6012
461,0.0020015,12.6013
462,0.00141464,12.6014
463,0.00204146,12.6012
464,0.00167546,12.6011
465,0.00174277,12.6011
466,0.00183953,12.6016
467,0.00180798,12.6008
468,0.00161447,12.6012
469,0.00216136,12.6006
470,0.00178484,12.6009
471,0.00180798,12.6012
472,0.00195943,12.6013
473,0.00183322,12.6004
474,0.00146302,12.6011
475,0.00203094,12.6011
476,0.00195312,12.6013
477,0.0019426,12.6013
478,0.00183322,12.6009
479,0.00177643,12.6011
480,0.00198467,12.6008
481,0.00203936,12.6019
482,0.00137888,12.601
483,0.00184164,12.6015
484,0.0019447,12.6013
485,0.00142305,12.6012
486,0.0020667,12.6003
487,0.0018816,12.6012
488,0.00150719,12.6009
489,0.00209825,12.6011
490,0.00183953,12.6017
491,0.00204356,12.6012
492,0.00164391,12.601
493,0.00195733,12.6018
494,0.00175119,12.6014
495,0.00213401,12.601
496,0.00164391,12.6012
497,0.00198888,12.6011
498,0.00197626,12.6012
499,0.00178905,12.6009
500,0.00203305,12.6009
501,0.00191946,12.6016
502,0.00158502,12.6008
503,0.0022497,12.6014
504,0.00201412,12.601
505,0.00170281,12.6013
506,0.00207091,12.6018
507,0.0021235,12.6009
508,0.0014504,12.6002
509,0.00208353,12.6007
510,0.00207512,12.6013
511,0.00125057,12.6014
512,0.00211087,12.6014
513,0.00184584,12.6019
514,0.0019426,12.6016
515,0.00183953,12.6011
516,0.0020646,12.601
517,0.00199308,12.6008
518,0.00202463,12.6016
519,0.00182901,12.6008
520,0.0019447,12.6009
521,0.0017617,12.6014
522,0.00223498,12.6014
523,0.00152612,12.6013
524,0.00186267,12.601
525,0.00201832,12.6009
526,0.00162919,12.6007
527,0.00165022,12.6014
528,0.00163971,12.6016
529,0.00216136,12.6013
530,0.00137888,12.6013
531,0.00185215,12.6006
532,0.00188581,12.6011
533,0.00244532,12.6011
534,0.00169019,12.6009
535,0.00186898,12.6011
536,0.00185005,12.6007
537,0.00148405,12.6013
538,0.0018795,12.6013
539,0.00234856,12.6013
540,0.00127161,12.6007
541,0.00207722,12.6016
542,0.00198677,12.6008
543,0.00167546,12.6009
544,0.00196364,12.6009
545,0.0016376,12.6005
546,0.00191526,12.6006
547,0.00221394,12.6014
548,0.00181008,12.6005
549,0.00184164,12.6007
550,0.00228336,12.6012
551,0.00159133,12.6008
552,0.00178695,12.6012
553,0.00196994,12.6011
554,0.00178484,12.6009
555,0.00176591,12.6012
556,0.00188581,12.6011
557,0.00185636,12.6012
558,0.00173015,12.601
559,0.00199939,12.6004
560,0.00159133,12.6013
561,0.00176802,12.6014
562,0.0020015,12.6012
563,0.00186477,12.6015
564,0.00211087,12.6011
565,0.00205829,12.6011
566,0.0018164,12.6006
567,0.00189212,12.6012
568,0.00187108,12.6017
569,0.00143567,12.6012
570,0.00192367,12.601
